"ingredient","singnum","singredient"
"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE",1,"ACETAMINOPHEN"
"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE",2,"OXYCODONE HYDROCHLORIDE"
"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE",3,"OXYCODONE TEREPHTHALATE"
"ACETAMINOPHEN; PENTAZOCINE HYDROCHLORIDE",1,"ACETAMINOPHEN"
"ACETAMINOPHEN; PENTAZOCINE HYDROCHLORIDE",2,"PENTAZOCINE HYDROCHLORIDE"
"ACETAMINOPHEN; PROPOXYPHENE HYDROCHLORIDE",1,"ACETAMINOPHEN"
"ACETAMINOPHEN; PROPOXYPHENE HYDROCHLORIDE",2,"PROPOXYPHENE HYDROCHLORIDE"
"ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE",1,"ACETAMINOPHEN"
"ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE",2,"PROPOXYPHENE NAPSYLATE"
"ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE",1,"ACETAMINOPHEN"
"ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE",2,"TRAMADOL HYDROCHLORIDE"
"ACETAZOLAMIDE",1,"ACETAZOLAMIDE"
"ACETAZOLAMIDE SODIUM",1,"ACETAZOLAMIDE SODIUM"
"ACETIC ACID, GLACIAL",1,"ACETIC ACID, GLACIAL"
"ACETIC ACID, GLACIAL; ALUMINUM ACETATE",1,"ACETIC ACID, GLACIAL"
"ACETIC ACID, GLACIAL; ALUMINUM ACETATE",2,"ALUMINUM ACETATE"
"ACETIC ACID, GLACIAL; DESONIDE",1,"ACETIC ACID, GLACIAL"
"ACETIC ACID, GLACIAL; DESONIDE",2,"DESONIDE"
"ACETIC ACID, GLACIAL; HYDROCORTISONE",1,"ACETIC ACID, GLACIAL"
"ACETIC ACID, GLACIAL; HYDROCORTISONE",2,"HYDROCORTISONE"
"ACETIC ACID, GLACIAL; HYDROCORTISONE; NEOMYCIN SULFATE",1,"ACETIC ACID, GLACIAL"
"ACETIC ACID, GLACIAL; HYDROCORTISONE; NEOMYCIN SULFATE",2,"HYDROCORTISONE"
"ACETIC ACID, GLACIAL; HYDROCORTISONE; NEOMYCIN SULFATE",3,"NEOMYCIN SULFATE"
"ACETOHEXAMIDE",1,"ACETOHEXAMIDE"
"ACETOHYDROXAMIC ACID",1,"ACETOHYDROXAMIC ACID"
"ACETOPHENAZINE MALEATE",1,"ACETOPHENAZINE MALEATE"
"ACETRIZOATE SODIUM",1,"ACETRIZOATE SODIUM"
"ACETYLCHOLINE CHLORIDE",1,"ACETYLCHOLINE CHLORIDE"
"ACETYLCYSTEINE",1,"ACETYLCYSTEINE"
"ACETYLCYSTEINE; ISOPROTERENOL HYDROCHLORIDE",1,"ACETYLCYSTEINE"
"ACETYLCYSTEINE; ISOPROTERENOL HYDROCHLORIDE",2,"ISOPROTERENOL HYDROCHLORIDE"
"ACETYLDIGITOXIN",1,"ACETYLDIGITOXIN"
"ACITRETIN",1,"ACITRETIN"
"ACLIDINIUM BROMIDE",1,"ACLIDINIUM BROMIDE"
"ACRISORCIN",1,"ACRISORCIN"
"ACRIVASTINE; PSEUDOEPHEDRINE HYDROCHLORIDE",1,"ACRIVASTINE"
"ACRIVASTINE; PSEUDOEPHEDRINE HYDROCHLORIDE",2,"PSEUDOEPHEDRINE HYDROCHLORIDE"
"ACYCLOVIR",1,"ACYCLOVIR"
"ACYCLOVIR SODIUM",1,"ACYCLOVIR SODIUM"
"ACYCLOVIR; HYDROCORTISONE",1,"ACYCLOVIR"
"ACYCLOVIR; HYDROCORTISONE",2,"HYDROCORTISONE"
"ADAPALENE",1,"ADAPALENE"
"ADAPALENE; BENZOYL PEROXIDE",1,"ADAPALENE"
"ADAPALENE; BENZOYL PEROXIDE",2,"BENZOYL PEROXIDE"
"ADEFOVIR DIPIVOXIL",1,"ADEFOVIR DIPIVOXIL"
"ADENOSINE",1,"ADENOSINE"
"AFATINIB DIMALEATE",1,"AFATINIB DIMALEATE"
"ALATROFLOXACIN MESYLATE",1,"ALATROFLOXACIN MESYLATE"
"ALBENDAZOLE",1,"ALBENDAZOLE"
"ALBUMIN CHROMATED CR-51 SERUM",1,"ALBUMIN CHROMATED CR-51 SERUM"
"ALBUMIN HUMAN",1,"ALBUMIN HUMAN"
"ALBUMIN IODINATED I-125 SERUM",1,"ALBUMIN IODINATED I-125 SERUM"
"ALBUMIN IODINATED I-131 SERUM",1,"ALBUMIN IODINATED I-131 SERUM"
"ALBUTEROL",1,"ALBUTEROL"
"ALBUTEROL SULFATE",1,"ALBUTEROL SULFATE"
"ALBUTEROL SULFATE; IPRATROPIUM BROMIDE",1,"ALBUTEROL SULFATE"
"ALBUTEROL SULFATE; IPRATROPIUM BROMIDE",2,"IPRATROPIUM BROMIDE"
"ALCAFTADINE",1,"ALCAFTADINE"
"ALCLOMETASONE DIPROPIONATE",1,"ALCLOMETASONE DIPROPIONATE"
"ALCOHOL",1,"ALCOHOL"
"ALCOHOL; CHLORHEXIDINE GLUCONATE",1,"ALCOHOL"
"ALCOHOL; CHLORHEXIDINE GLUCONATE",2,"CHLORHEXIDINE GLUCONATE"
"ALCOHOL; DEXTROSE",1,"ALCOHOL"
"ALCOHOL; DEXTROSE",2,"DEXTROSE"
"ALECTINIB HYDROCHLORIDE",1,"ALECTINIB HYDROCHLORIDE"
"ALENDRONATE SODIUM",1,"ALENDRONATE SODIUM"
"ALENDRONATE SODIUM; CHOLECALCIFEROL",1,"ALENDRONATE SODIUM"
"ALENDRONATE SODIUM; CHOLECALCIFEROL",2,"CHOLECALCIFEROL"
"ALFENTANIL HYDROCHLORIDE",1,"ALFENTANIL HYDROCHLORIDE"
"ALFUZOSIN HYDROCHLORIDE",1,"ALFUZOSIN HYDROCHLORIDE"
"ALGLUCERASE",1,"ALGLUCERASE"
"ALISKIREN HEMIFUMARATE",1,"ALISKIREN HEMIFUMARATE"
"ALISKIREN HEMIFUMARATE; AMLODIPINE BESYLATE",1,"ALISKIREN HEMIFUMARATE"
"ALISKIREN HEMIFUMARATE; AMLODIPINE BESYLATE",2,"AMLODIPINE BESYLATE"
"ALISKIREN HEMIFUMARATE; AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE",1,"ALISKIREN HEMIFUMARATE"
"ALISKIREN HEMIFUMARATE; AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE",2,"AMLODIPINE BESYLATE"
"ALISKIREN HEMIFUMARATE; AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE",3,"HYDROCHLOROTHIAZIDE"
"ALISKIREN HEMIFUMARATE; HYDROCHLOROTHIAZIDE",1,"ALISKIREN HEMIFUMARATE"
"ALISKIREN HEMIFUMARATE; HYDROCHLOROTHIAZIDE",2,"HYDROCHLOROTHIAZIDE"
"ALISKIREN HEMIFUMARATE; VALSARTAN",1,"ALISKIREN HEMIFUMARATE"
"ALISKIREN HEMIFUMARATE; VALSARTAN",2,"VALSARTAN"
"ALITRETINOIN",1,"ALITRETINOIN"
"ALKAVERVIR",1,"ALKAVERVIR"
"ALLOPURINOL",1,"ALLOPURINOL"
"ALLOPURINOL SODIUM",1,"ALLOPURINOL SODIUM"
"ALLOPURINOL; LESINURAD",1,"ALLOPURINOL"
"ALLOPURINOL; LESINURAD",2,"LESINURAD"
"ALMOTRIPTAN MALATE",1,"ALMOTRIPTAN MALATE"
"ALOGLIPTIN BENZOATE",1,"ALOGLIPTIN BENZOATE"
"ALOGLIPTIN BENZOATE; METFORMIN HYDROCHLORIDE",1,"ALOGLIPTIN BENZOATE"
"ALOGLIPTIN BENZOATE; METFORMIN HYDROCHLORIDE",2,"METFORMIN HYDROCHLORIDE"
"ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE",1,"ALOGLIPTIN BENZOATE"
"ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE",2,"PIOGLITAZONE HYDROCHLORIDE"
"ALOSETRON HYDROCHLORIDE",1,"ALOSETRON HYDROCHLORIDE"
"ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K",1,"ALPHA-TOCOPHEROL ACETATE"
"ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K",2,"ASCORBIC ACID"
"ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K",3,"BIOTIN"
"ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K",4,"CHOLECALCIFEROL"
"ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K",5,"CYANOCOBALAMIN"
"ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K",6,"DEXPANTHENOL"
"ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K",7,"FOLIC ACID"
"ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K",8,"NIACINAMIDE"
"ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K",9,"PYRIDOXINE HYDROCHLORIDE"
"ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K",10,"RIBOFLAVIN 5'-PHOSPHATE SODIUM"
"ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K",11,"THIAMINE HYDROCHLORIDE"
"ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K",12,"VITAMIN A PALMITATE"
"ALPRAZOLAM",1,"ALPRAZOLAM"
"ALPROSTADIL",1,"ALPROSTADIL"
"ALSEROXYLON",1,"ALSEROXYLON"
"ALTRETAMINE",1,"ALTRETAMINE"
"ALUMINUM HYDROXIDE; MAGNESIUM TRISILICATE",1,"ALUMINUM HYDROXIDE"
"ALUMINUM HYDROXIDE; MAGNESIUM TRISILICATE",2,"MAGNESIUM TRISILICATE"
"ALVIMOPAN",1,"ALVIMOPAN"
"AMANTADINE HYDROCHLORIDE",1,"AMANTADINE HYDROCHLORIDE"
"AMBENONIUM CHLORIDE",1,"AMBENONIUM CHLORIDE"
"AMBRISENTAN",1,"AMBRISENTAN"
"AMCINONIDE",1,"AMCINONIDE"
"AMDINOCILLIN",1,"AMDINOCILLIN"
"AMIFOSTINE",1,"AMIFOSTINE"
"AMIKACIN SULFATE",1,"AMIKACIN SULFATE"
"AMILORIDE HYDROCHLORIDE",1,"AMILORIDE HYDROCHLORIDE"
"AMILORIDE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE",1,"AMILORIDE HYDROCHLORIDE"
"AMILORIDE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE",2,"HYDROCHLOROTHIAZIDE"
"AMINO ACIDS",1,"AMINO ACIDS"
"AMINO ACIDS; CALCIUM ACETATE; GLYCERIN; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE",1,"AMINO ACIDS"
"AMINO ACIDS; CALCIUM ACETATE; GLYCERIN; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE",2,"CALCIUM ACETATE"
"AMINO ACIDS; CALCIUM ACETATE; GLYCERIN; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE",3,"GLYCERIN"
"AMINO ACIDS; CALCIUM ACETATE; GLYCERIN; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE",4,"MAGNESIUM ACETATE"
"AMINO ACIDS; CALCIUM ACETATE; GLYCERIN; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE",5,"PHOSPHORIC ACID"
"AMINO ACIDS; CALCIUM ACETATE; GLYCERIN; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE",6,"POTASSIUM CHLORIDE"
"AMINO ACIDS; CALCIUM ACETATE; GLYCERIN; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE",7,"SODIUM ACETATE"
"AMINO ACIDS; CALCIUM ACETATE; GLYCERIN; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE",8,"SODIUM CHLORIDE"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",1,"AMINO ACIDS"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",2,"CALCIUM CHLORIDE"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",3,"DEXTROSE"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",4,"MAGNESIUM CHLORIDE"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",5,"POTASSIUM CHLORIDE"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",6,"POTASSIUM PHOSPHATE, DIBASIC"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",7,"SODIUM CHLORIDE"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE",1,"AMINO ACIDS"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE",2,"CALCIUM CHLORIDE"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE",3,"DEXTROSE"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE",4,"MAGNESIUM CHLORIDE"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE",5,"POTASSIUM PHOSPHATE, DIBASIC"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE",6,"SODIUM ACETATE"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE",7,"SODIUM CHLORIDE"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM SULFATE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM GLYCEROPHOSPHATE; SOYBEAN OIL",1,"AMINO ACIDS"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM SULFATE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM GLYCEROPHOSPHATE; SOYBEAN OIL",2,"CALCIUM CHLORIDE"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM SULFATE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM GLYCEROPHOSPHATE; SOYBEAN OIL",3,"DEXTROSE"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM SULFATE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM GLYCEROPHOSPHATE; SOYBEAN OIL",4,"MAGNESIUM SULFATE"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM SULFATE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM GLYCEROPHOSPHATE; SOYBEAN OIL",5,"POTASSIUM CHLORIDE"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM SULFATE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM GLYCEROPHOSPHATE; SOYBEAN OIL",6,"SODIUM ACETATE"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM SULFATE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM GLYCEROPHOSPHATE; SOYBEAN OIL",7,"SODIUM GLYCEROPHOSPHATE"
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM SULFATE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM GLYCEROPHOSPHATE; SOYBEAN OIL",8,"SOYBEAN OIL"
"AMINO ACIDS; DEXTROSE",1,"AMINO ACIDS"
"AMINO ACIDS; DEXTROSE",2,"DEXTROSE"
"AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM ACETATE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",1,"AMINO ACIDS"
"AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM ACETATE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",2,"DEXTROSE"
"AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM ACETATE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",3,"MAGNESIUM CHLORIDE"
"AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM ACETATE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",4,"POTASSIUM ACETATE"
"AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM ACETATE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",5,"POTASSIUM CHLORIDE"
"AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM ACETATE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",6,"POTASSIUM PHOSPHATE, DIBASIC"
"AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM ACETATE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",7,"SODIUM CHLORIDE"
